player,g,pts,ast,trb,team,season
Napheesa Collier,34,20.4,3.4,9.7,Minnesota Lynx,2024
Kayla McBride,39,15.0,3.2,2.6,Minnesota Lynx,2024
Bridget Carleton,39,9.6,2.2,3.8,Minnesota Lynx,2024
Alanna Smith,39,10.1,3.2,5.6,Minnesota Lynx,2024
Courtney Williams,40,11.1,5.5,4.7,Minnesota Lynx,2024
Myisha Hines-Allen,13,7.5,2.2,4.2,Minnesota Lynx,2024
Dorka Juhász,34,4.8,1.1,3.8,Minnesota Lynx,2024
Natisha Hiedeman,40,4.9,2.4,1.6,Minnesota Lynx,2024
Cecilia Zandalasini,40,4.6,1.1,1.2,Minnesota Lynx,2024
Diamond Miller,21,2.9,0.6,1.8,Minnesota Lynx,2024
Olivia Époupa,17,0.8,1.5,1.1,Minnesota Lynx,2024
Alissa Pili,22,2.4,0.2,1.2,Minnesota Lynx,2024
Sika Koné,17,1.2,0.1,0.7,Minnesota Lynx,2024
Taylor Soule,2,0.0,0.0,0.5,Minnesota Lynx,2024
A'ja Wilson,38,26.9,2.3,11.9,Las Vegas Aces,2024
Kelsey Plum,38,17.8,4.2,2.6,Las Vegas Aces,2024
Jackie Young,37,15.8,5.3,4.4,Las Vegas Aces,2024
Chelsea Gray,27,8.6,4.9,2.9,Las Vegas Aces,2024
Alysha Clark,40,6.0,1.8,3.6,Las Vegas Aces,2024
Tiffany Hayes,33,9.5,2.1,2.8,Las Vegas Aces,2024
Kiah Stokes,39,1.4,0.7,4.7,Las Vegas Aces,2024
Kate Martin,34,2.6,0.9,1.6,Las Vegas Aces,2024
Megan Gustafson,38,3.7,0.2,1.9,Las Vegas Aces,2024
Sydney Colson,31,2.5,1.0,0.5,Las Vegas Aces,2024
Kierstan Bell,6,2.8,0.8,1.0,Las Vegas Aces,2024
Queen Egbo,3,2.7,0.0,1.7,Las Vegas Aces,2024
Dyaisha Fair,1,0.0,2.0,0.0,Las Vegas Aces,2024
Jessika Carter,2,0.0,0.0,0.0,Las Vegas Aces,2024
Emma Cannon,5,0.8,0.2,0.4,Las Vegas Aces,2024
Rhyne Howard,30,17.3,3.1,4.4,Atlanta Dream,2024
Allisha Gray,40,15.6,2.7,4.4,Atlanta Dream,2024
Jordin Canada,20,10.6,5.8,3.5,Atlanta Dream,2024
Tina Charles,39,14.9,2.3,9.6,Atlanta Dream,2024
Naz Hillmon,40,5.7,1.3,4.8,Atlanta Dream,2024
Cheyenne Parker-Tyus,25,9.2,1.5,4.8,Atlanta Dream,2024
Aerial Powers,17,8.6,1.4,3.3,Atlanta Dream,2024
Haley Jones,40,3.9,2.1,2.2,Atlanta Dream,2024
Destanni Henderson,6,4.0,2.5,2.0,Atlanta Dream,2024
Maya Caldwell,25,5.2,1.1,1.8,Atlanta Dream,2024
Crystal Dangerfield,15,3.1,1.7,1.1,Atlanta Dream,2024
Nia Coffey,40,3.3,1.2,2.4,Atlanta Dream,2024
Ezinne Kalu,1,3.0,0.0,1.0,Atlanta Dream,2024
Lorela Cubaj,28,1.2,0.5,1.5,Atlanta Dream,2024
Laeticia Amihere,16,1.2,0.2,1.7,Atlanta Dream,2024
